complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid,label
22-0183,2022-05-04 04:00:00+00,800.0,CRIMINAL ALLEGATION,"According to the complainant, between 11-1-21 through 2-5-22, an off-duty police supervisor assigned to the 8th District, harassed, threatened and violated departmental policies via social media. The complainant states they have been harassed by a police supervisor, via social media. The complainant states the police supervisor has verbally attacked them and spread rumors to other people online about them. The complainant also states the supervisor abused their authority when they contacted other police departments about them.",11/01/2021,,6669,high
22-0184,2022-05-04 04:00:00+00,2600.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-30-22 at 11:38 PM, while in the confines of the 26th District, they were improperly stopped by a 26th District officer. They beeped their horn at a car that almost struck them. The complainant continued to drive. They noticed a police van activate their overhead lights. The complainant pulled over. The officer exited their vehicle and asked the complainant if there was a problem. The complainant asked the officer if they saw the vehicle that almost struck them. The officer said, Â¿No. I heard you beeping, so I thought you were beeping at us.Â¿ The officer said that they thought something was wrong. The complainant states that when the officer realized they had no reason to pull them over, they began to inspect the vehicle, looking for a reason to ticket them. The complainant asked the officer for their badge number. The officerÂ¿s partner snickered and said they did not ask for any information.",04/30/2022,11:38 PM,6670,medium
22-0185,2022-05-04 04:00:00+00,1500.0,LACK OF SERVICE,"According to the complainant, on 4-12-22 at 10:30 PM, while in the confines of the 15th District, officers responded to a call in reference to the complainant being assaulted by their neighbor. The complainant states that after they showed one of the officers the bruises they sustained, the officer advised them to file a civil complaint against their neighbor and provided them with the police report number. The complainant states that they informed the officers that there were witnesses on location, but the officers did not speak to any of them. The complainant later contacted the District AttorneyÂ¿s Office, only to discover that the report filed was incorrectly prepared as a dispute, and not an assault.",04/12/2022,10:30 PM,6671,low
22-0186,2022-05-04 04:00:00+00,800.0,LACK OF SERVICE,"According to the complainant, on 2-14-22 at approximately 12:00 PM, officers responded to their residence in reference to their family member having two loaded shotguns. The complainant was not home at the time but has knowledge that numerous officers responded. The complainant states that they later discovered that there was no report prepared in reference to the shotguns that their family member had in their possession at the time.",02/14/2022,12:00 PM,6672,high
22-0187,2022-05-10 04:00:00+00,600.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-3-22 at 1:38 PM, while transporting a passenger, as an Uber driver, they pulled over at 2nd and Green Streets because their passenger told them that they couldnÂ¿t breathe. The complainant states that they were talking to their passenger when an officer approached the passenger side of their vehicle and in a rude and unprofessional manner told them that they were parked too close to the crosswalk, then passed them a ticket.",05/03/2022,1:38 PM,6673,medium
17-0094,2017-03-01 05:00:00+00,1200.0,PHYSICAL ABUSE,"According to the complainant, on 2-24-17 at 9:55pm, they were physically abused by an officer assigned to the 19th District.",02/24/2017,9:55 PM,3350,high
22-0188,2022-05-05 04:00:00+00,2500.0,LACK OF SERVICE,"According to the complainant, on 4-29-22 at 4:00 PM, while within the confines of the 25th District, they called police due to an individual pointing a gun at them. The complainant states that the responding officers did not let them say their entire story about what happened, they failed to prepare a report, and did not allow them to speak to a detective. Later, while at the district, they were told by the officers to continue to wait. At one point, while at the district, the complainant began to yell because of how long they had been waiting, but the officers ignored them and walked away. The complainant states officers stood by as they begged and broke down about their situation but they did not seem to care. The complainant states that after hours of waiting, they gave up and walked outside when a police supervisor approached and told them that someone will contact them due to there being so many important cases being handled.",04/29/2022,4:00 PM,6674,high
22-0189,2022-05-09 04:00:00+00,300.0,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 5-2-22 at 10:23 PM, while in the confines of the 3rd District, they were racially profiled by an officer. The complainant asked the officer why they were ticketing them and the officer said that they had been double-parked. The complainant states that the officer pulled them over two blocks away from where they had been parked. The complainant states that the officer also yelled at them.",05/02/2022,10:23 PM,6675,low
22-0190,2022-05-09 04:00:00+00,2500.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-2-22 at 5:50 PM, while in the confines of the 25th District, they were stopped by police. The complainant states that they gave their information along with their gun license to the officers and when the gun license did not come back to their name, they were asked to exit their vehicle. The complainant was told that they had a warrant after exiting the vehicle and being handcuffed. The complainant states that the officers said they were trying to straighten out the situation and once a supervisor arrived, they were released. The complainant was given all their information back and told that the city does not have the best equipment. The complainant states that they were stopped again at 6:06 PM, not far from the first location. The complainant told the officers that they had just been stopped and an officer started laughing. The complainant said the officers still asked for their information again.",05/02/2022,5:50 PM,6676,high
22-0349,2022-08-08 04:00:00+00,,LACK OF SERVICE,"According to the complainant, on 8-2-22 at 8:00 PM, while in the confines of the 35th District, their in-law kicked in the door to their apartment and entered without permission. The complainant states that their in-law wanted to get their children but they refused to leave with them. Police were called. The responding officer was informed about the incident but refused to arrest their in-law, who was outside arguing with a their family member.",08/02/2022,8:00 PM,6835,low
22-0350,2022-08-08 04:00:00+00,2500.0,VERBAL ABUSE,"According to the complainant, on 8-3-22 at 2:15 PM, while in the confines of the 25th District, they were at the district to serve a protection from abuse order. The complainant states that they were approached by their ex-significant otherÂ¿s family member, an officer assigned to that district. The complainant states that the officer questioned them about their relationship with the significant other, called them a child and told them to step up as a parent. The complainant felt disrespected and degraded by the remarks the officer made to them.",08/03/2022,2:15 PM,6836,medium
22-0351,2022-08-08 04:00:00+00,200.0,LACK OF SERVICE,"According to the complainants, while in the confines of the 7th District, they have been having issues with their family members, in reference to them stealing rent money. The complainants states that they have repeatedly reported that their family members are stealing rent from them. The complainant states that a detective was handling their case but later informed them that it was a civil matter. The complainant states that they were later arrested and feels that due to the detective not conducting a proper investigation this would not have happened.",,,6837,low
22-0352,2022-08-24 04:00:00+00,500.0,CRIMINAL ALLEGATION,"According to the complainant, on 4-24-22 at 11:00 AM, while in the confines of the 5th District, they had a verbal and physical altercation with a civilian assigned to the Firearms Identification Unit. The complainant states that the civilian began arguing with them and refused to let them leave with their belongings. The complainant states that they elbowed them in the lip and punched them in the face, causing their lip to bleed along with getting a black eye. The complainant further states that the civilian has threatened to use their position with the police department to hurt them and their loved ones.",04/24/2022,11:00 AM,6838,high
22-0353,2022-08-11 04:00:00+00,1200.0,LACK OF SERVICE,"According to the complainant, on 8-2-22 at 1:29 PM, while in the confines of the 12th District, they were struck by another vehicle. While the complainant and their family member were at the hospital, two officers arrived and asked for their information. The complainant asked if they were able to take their report and they told them that 12th District officers were already at the scene of the accident. The complainant states that they were informed that they could get their report number from the district. On 8-3-22, the complainant went to the district to obtain the report and was told that there was no report filed.",08/02/2022,1:29 PM,6839,low
22-0354,2022-08-11 04:00:00+00,300.0,LACK OF SERVICE,"According to the complainant, on 8-3-22 at 10:00 AM, while in the confines of the 3rd District, they called the district to file a report about the theft of their phone.The officer that the complainant spoke to told them that they could not take the report because the phone wasnÂ¿t stolen from them directly.Thecomplainantstates they are the owner of the phone.The complainant told the officer that they live outside of the city and needed help, but the officer still refused to assist them.The complainant states that the officer said that the person the phone was stolen from has to call to report the theft.",08/03/2022,10:00 AM,6840,low
22-0355,2022-08-11 04:00:00+00,1200.0,VERBAL ABUSE,"According to the complainant, on 8-7-22 at 6:50 PM, while in the confines of the 12th District, officers stopped them. The complainant states that the officers were rude to them and one of them said, Â¿I got a sh*t load of tickets coming your way.Â¿ The complainant states that the officers were laughing at them and that they also gave them a ticket for littering.",08/07/2022,6:50 PM,6841,medium
22-0356,2022-08-11 04:00:00+00,2500.0,LACK OF SERVICE,"According to the complainant, on 7-23-22 at 6:30 PM, while within the confines of the 25th District, they were involved in a vehicle accident and called 911 four times. The complainant states that they waited for hours, during that time, they were harassed by the other drivers family and friends who attempted to intimidate them into taking their vehicle to their body shop. The complainant states police never showed up and that they never knew that they could file their report at the police district.",07/23/2022,6:30 PM,6842,low
17-0092,2017-03-01 05:00:00+00,3900.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-24-17 at 1:45pm, unknown officers did not follow proper police procedure. This incident occurred in the confines of the 39th District.",02/24/2017,1:45 PM,3348,medium
17-0095,2017-03-09 05:00:00+00,2500.0,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-15-17, proper police procedures were not followed by an officer assigned to the 25th District.",01/15/2017,,3351,low
22-0358,2022-08-15 04:00:00+00,2400.0,VERBAL ABUSE,"According to the complainant, on 8-7-22 at 3:30 AM, while in the confines of the 24th District, they called 911 for assistance because their in-law refused to give them their child back. The complainant states that as they explained the situation to the dispatcher, they gave them their own opinion about the situation, instead of sending help right away. The complainant states that they argued with the dispatcher and eventually they said they would send officers out. The dispatcher hung up on them as they were still speaking.",08/07/2022,3:30 AM,6844,medium
22-0359,2022-08-11 04:00:00+00,1500.0,PHYSICAL ABUSE,"According to the complainant, on 8-8-21 at 5:16 PM, while in the confines of the 15th District, police arrived to their residence and forced them to leave. The complainant states that the officers did not listen to anything they had to say and caused them to injure their leg. The complainant also states that, at one point, a supervisor had their hand on their gun. The complainant also states that they later went to the 35th District and filed a report with a supervisor but later discovered that the report was never filed.",08/08/2021,5:16 PM,6845,high
22-0360,2022-08-15 04:00:00+00,600.0,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-7-22 at 12:01 PM, while within the confines of the 6th District, their vehicle was parked in a loading zone for about 15 minutes. The complainant states they were issued a ticket by an officer, who was rude towards them. The complainant also states the officer lied about how long they were parked there. The complainant states the officerÂ¿s actions were disgusting and unwarranted.",07/07/2022,12:01 PM,6846,medium
17-0066,2017-02-17 05:00:00+00,1800.0,CRIMINAL ALLEGATION,"According to the complainant, on 2-8-17 at 7:35pm, they are missing property after a search warrant was executed at their residence by officers assigned to the Narcotics Field Unit. This incident occurred in the confines of the 18th District.",02/08/2017,7:35 PM,3322,high
17-0067,2017-03-03 05:00:00+00,1800.0,LACK OF SERVICE,"According to the complainant, on 1-9-17 at approximately 1:30, they were falsely arrested by and has not received proper service from unidentified 18th District officers.",01/09/2017,,3323,low
17-0068,2017-03-03 05:00:00+00,1800.0,NON-INVESTIGATORY INCIDENT,"According to the complaint, several months ago, they were verbally abused by unknown officers in the 16th District.",,,3324,low
17-0069,2017-02-20 05:00:00+00,1800.0,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-21-16, they did not receive proper service from and was treated unprofessionally by a sergeant assigned to the 35th District.",12/21/2016,,3325,medium
17-0070,2017-02-17 05:00:00+00,1900.0,PHYSICAL ABUSE,"According to the complaint, on 9-24-16 at 2:35am, they were physically abused by a sergeant assigned to the 19th District.",09/24/2016,2:35 AM,3326,high
17-0071,2017-02-14 05:00:00+00,,SEXUAL CRIME/MISCONDUCT,"According to the complainant, in January 2017, they were threatened by a supervisor assigned to Central Detectives. This incident occurred in the confines of the 14th District.",,,3327,high
17-0072,2017-02-17 05:00:00+00,1500.0,PHYSICAL ABUSE,"According to the complainant, on 1-27-17 at 11:15am, they were physically abused by unknown officers in the confines of the 15th District.",01/27/2017,11:15 AM,3328,high
17-0073,2017-02-20 05:00:00+00,1800.0,LACK OF SERVICE,"According to the complainant, on 11-09-16, they did not receive proper service from an officer assigned to the 18th District.",11/09/2016,,3329,low
17-0074,2017-02-22 05:00:00+00,1400.0,LACK OF SERVICE,"According to the complainant, on 2-13-17 at 6:38pm, they did not receive proper service from officers assigned to the 14th District.",02/13/2017,6:38 PM,3330,low
17-0075,2017-02-22 05:00:00+00,3900.0,LACK OF SERVICE,"According to the complainant, on 2-01-17 at 3:21am, they did not receive proper service from officers assigned to the 39th District.",02/01/2017,3:21 AM,3331,low
17-0076,2017-02-22 05:00:00+00,3500.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-9-17 at 6:10pm, they were harassed and verbally abused by officers assigned to the 35th District.",02/09/2017,6:10 PM,3332,medium
17-0077,2017-02-22 05:00:00+00,5000.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-10-17 at 10:45PM, their vehicle was damaged by an officer assigned to the 5th District.",02/10/2017,10:45 PM,3333,medium
17-0078,2017-03-07 05:00:00+00,1800.0,LACK OF SERVICE,"According to the complainant, on 2-16-17, at 12:30am, they did not receive proper service from officers assigned to the 18th District.",02/16/2017,12:30 AM,3334,low
17-0079,2017-02-23 05:00:00+00,8000.0,CRIMINAL ALLEGATION,"According to the complainant, on 2-13-17 at 7:45pm, they were assaulted by an off-duty officer and an 8th District officer and supervisor would not take a report of the incident.",02/13/2017,7:45 PM,3335,high
17-0080,2017-02-23 05:00:00+00,1500.0,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-12-17 at 12:30am, proper procedures were not followed by officers assigned to the 15th District.",02/12/2017,12:30 AM,3336,medium
17-0081,2017-02-23 05:00:00+00,2500.0,PHYSICAL ABUSE,"According to the complainant, on 2-12-17 at 2:10am, they were physically and verbally abused by officers assigned to the 24th District.",02/12/2017,2:10 AM,3337,high
17-0082,2017-02-23 05:00:00+00,7000.0,CRIMINAL ALLEGATION,"According to the complainant, on 2-13-17,they were falsely arrested, physically abused and money was taken from them by unidentified 7th District officers.",02/13/2017,,3338,high
17-0083,2017-02-23 05:00:00+00,1900.0,PHYSICAL ABUSE,"According to the complainant, on 2-09-17 at 8:25pm, they were physically abused by officers assigned to the 19th District.",02/09/2017,8:25 PM,3339,high
17-0084,2017-02-23 05:00:00+00,9000.0,LACK OF SERVICE,"According to the complainant, on 2-19-17 at 3:30pm, they did not receive proper service from officers assigned to the 9th District.",02/19/2017,3:30 PM,3340,low
17-0085,2017-02-23 05:00:00+00,3500.0,DOMESTIC,"According to the complainant, on 1-29-17 at 8pm, they did not receive proper service from officers assigned to the 35th District. The complainant also stated a civilian employee conducted themselves unprofessionally.",01/29/2017,,3341,high
17-0086,2017-02-28 05:00:00+00,1800.0,PHYSICAL ABUSE,"According to the complainant, on 2-12-17 at 7:47pm, they were physically and verbally abused by an officer assigned to the 18th District.",02/12/2017,7:47 PM,3342,high
17-0087,2017-02-27 05:00:00+00,1500.0,LACK OF SERVICE,"According to the complainant, on 12-19-16 at 3:03pm, they did not receive proper service from sergeant and a officer assigned to the 2nd District. district.",12/19/2016,3:03 PM,3343,low
17-0088,2017-03-07 05:00:00+00,1500.0,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 2-15-17 at 6:25pm, they were harassed by an off duty officer assigned to the Airport. This incident occurred in the 15th District.",02/15/2017,6:25 PM,3344,low
17-0089,2017-02-27 05:00:00+00,6000.0,LACK OF SERVICE,"According to the complainant, on 2-4-17 at 2:48am, they were not given proper service from an unidentified 911 call taker.",02/04/2017,2:48 AM,3345,low
17-0090,2017-02-28 05:00:00+00,1600.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-08-17 at 12:00pm, they are missing property after their arrest by officers assigned to the 16th District.",02/08/2017,12:00 PM,3346,medium
17-0091,2017-03-01 05:00:00+00,1400.0,LACK OF SERVICE,"According to the complainant, on 1-11-17 at 7:30pm, they did not receive proper service from an officer and a corporal assigned to the 14th District.",01/11/2017,7:30 PM,3347,low
17-0096,2017-03-08 05:00:00+00,2600.0,HARASSMENT,"According to the complainant, on 2-13-17, a commander misused their authority as a police officer. This incident occurred in the confines of the 26th District.",02/13/2017,,3352,high
17-0097,2017-03-06 05:00:00+00,8000.0,PHYSICAL ABUSE,"According to the complainant, on 2-21-17 at 5:00am, they were physically abused by officers assigned to the 8th District.",02/21/2017,5:00 AM,3353,high
17-0098,2017-03-07 05:00:00+00,1200.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-23-17 at 6:00pm, their family member was verbally abused by officers assigned to the 12th District.",02/23/2017,6:00 PM,3354,medium
17-0099,2017-03-07 05:00:00+00,1600.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-24-16 at 3:40pm, they were harassed and improperly issued a citation by officers assigned to the 16th District.",12/24/2016,3:40 PM,3355,medium
22-0016,2022-01-21 05:00:00+00,100.0,LACK OF SERVICE,"According to the complainant, on 12-19-21 at 2:30 PM, while in the confines of the 1st District, they were threatened by a person with a gun. When the responding officer arrived, the complainant told the officer they saw a firearm. The officer became agitated and told the complainant that they did not see a firearm. A supervisor was called, and a sergeant arrived who also told the complainant that they never saw a firearm. The complainant requested another supervisor, and a lieutenant arrived. The complainant states that the responding lieutenant told them that they did not see a firearm. The complainant states that they told the lieutenant that they did see a firearm and that they were not changing their statement. The complainant states that the officer and supervisors failed to properly investigate this incident.",12/19/2021,2:30 PM,6502,high
22-0017,2022-01-20 05:00:00+00,,VERBAL ABUSE,"According to the complainant, on an unspecified date, time and location, a sergeant verbally abused an unknown civilian. Video provided.",,,6503,medium
22-0018,2022-01-21 05:00:00+00,3500.0,LACK OF SERVICE,"According to the complainant, on 11-1-19 at 1:00 AM, while in the confines of the 35th District, they were the victim of a sexual crime. The complainant states that a detective assigned to the Special Victims Unit was assigned and conducted interviews. The complainant obtained an attorney. The complainant states that the assigned detective told their attorney that they did not take them seriously. The complainant also states that the detective told them that their file was on the District AttorneyÂ¿s desk but they later discovered that was not true.",11/01/2019,1:00 AM,6504,low
22-0019,2022-01-21 05:00:00+00,,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-18-22 at 12:00 PM, while in the confines of the 22nd District, an officer entered their home without wearing a face mask.",01/18/2022,12:00 PM,6505,medium
22-0020,2022-01-21 05:00:00+00,1800.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-19-22 at 3:40 PM, while in the confines of the 18th District, they were pulled over by police. The complainant requested a supervisor, but was denied. The complainant was told to exit the vehicle, while another officer threatened to Â¿taseÂ¿ them. The complainant states that they were improperly detained and their vehicle was improperly searched.",01/19/2022,3:40 PM,6506,medium
22-0021,2022-01-24 05:00:00+00,2500.0,UNPROFESSIONAL CONDUCT,"According to the complainant, on 1-19-22 at 1:05 PM, they attempted to report money laundering and other crimes to police by phone. The complainant states that they called the Major Crimes Unit numerous times but was refused a report and told to call 911. The complainant states they were hung up on 22 times, sent to voicemail 10 times and that the officer they spoke to refused to identify themselves. The complainant states that they also attempted to file their report with another officer but that officer told them to call the Major Crimes Unit. When the complainant told the officer that the Major Crimes Unit will not answer, they said that it was not their issue or problem and then started being rude and insulting towards them.",01/19/2022,1:05 PM,6507,medium
22-0022,2022-01-24 05:00:00+00,1400.0,HARASSMENT,"According to the complainant, on 2-11-21 at 8:15 PM, while in the confines of the 14th District, they were pulled over by police in front of their home. The complainant states they requested a supervisor. The complainant states from that day forward, the same officer pulls them over every time they see them. On 1-20-22, they were pulled over by the same officer who told them that they would take their car the next time they see them.",02/11/2021,8:15 PM,6508,high
22-0023,2022-01-26 05:00:00+00,2400.0,UNPROFESSIONAL CONDUCT,"According to the complainant, they own a real estate firm and entered into an informal business partnership with an officer, who owns a construction firm. The complainant states that the officer took money from a joint bank account and has not returned it. The complainant states that when they confronted the officer, the officer filed a fraud report with another Police Department against them. When that Police Department questioned them, they advised them to file a complainant against the officer with Internal Affairs Division. The complainant is concerned and feels intimidated due to the officerÂ¿s knowledge of the law; they feel that the officer can cover up their indiscretions and turn everything back on them.",,,6509,medium
22-0024,2022-01-26 05:00:00+00,1700.0,LACK OF SERVICE,"According to the complainant, on 11-3-21 at 3:00 PM, while in the confines of the 17th District, they were assaulted by an unknown individual. The complainant states that they called 911 and waited ten minutes before returning home. The complainant called 911 from their home and two officers responded. The complainant states that the officers had no empathy towards them and feels as though the officers did not want to do their job. The complainant states that one of the officers explained that they could not arrest the individual because it was a simple assault. The complainant states that they have a bump on the back of their head for the rest of their life due to the assault. The complainant also states that the officers told them that a detective would be following up with them but they have not heard from anyone regarding this incident.",11/03/2021,3:00 PM,6510,low
22-0025,2022-01-26 05:00:00+00,900.0,LACK OF SERVICE,"According to the complainant, on 1-16-22 at 11:00 AM, while in the confines of the 9th District, they were assaulted by an unknown person. When the complainant screamed for help another person approached, asked if they were okay and told them that they were also assaulted by the same person. The complainant called 911; however, no officer responded. The complainant states that the other victim approached a patrol car that was parked nearby and attempted to report the incident but the officer told them that they were only there for the construction.",01/16/2022,11:00 AM,6511,low
22-0026,2022-01-26 05:00:00+00,300.0,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-21-21 at 4:58 PM, while in the confines of the 3rd District, they were flagged by an officer to drive forward when another officer jumped in front of their vehicle and yelled douche bag. The complainant states that their family members, which included children, were inside of the vehicle at the time. The complainant states that the officer acted unprofessional and aggressive towards them. The complainant also states that on 1-13-22, they received a notice in the mail about a citation issued to their vehicle for the same date, time and location.",11/21/2021,4:58 PM,6512,medium
22-0191,2022-05-05 04:00:00+00,300.0,VERBAL ABUSE,"According to the complainant, on 5-1-22 at 7:55 AM, while in the confines of the 3rd District, they were verbally abused by an unknown officer. While on the highway, they spoke to an officer in regards to driving across the street, during a charity race. The officer said that because the race had already begun, they would not be able to cross. The officer said that this was announced previously on the news and radio. When the complainant asked the officer where they would be able to cross, they said, Â¿I donÂ¿t know.Â¿ The officer said that if they had a problem with it, they should write a f*ck*ng letter to City Hall about it. The complainant asked the officer to stop cursing. The officer said, Â¿I donÂ¿t know what to f*ck*ng tell you.Â¿",05/01/2022,7:55 AM,6677,high
22-0192,2022-05-09 04:00:00+00,700.0,HARASSMENT,"According to the complainant, on 5-4-22 at 8:54 PM, while in the confines of the 7th District, officers banged on their door, telling them to come outside and talk to them. The complainant states that they refused and noticed an officer shine their light on their security camera. The complainant states that the officers told them that they could not take pictures of children, who are harassing them. The officers left the complainantÂ¿s property and stood by their vehicles. The complainant states that they called 911 and while on the phone with dispatch, the officers suddenly left. The complainant reports that the police have come to her home several times.",05/04/2022,8:54 PM,6678,high
22-0193,2022-05-10 04:00:00+00,3500.0,HARASSMENT,"According to the complainant, on 4-29-22, their friend was improperly arrested and their vehicle was confiscated. The complainant states the vehicle is registered in their name, had nothing to do with the arrest and should not have been confiscated. The complainant stated the assigned detective provided them with false information about the vehicle, refused to release the vehicle to them and only did so after their friends mother contacted them. The complainant further states that their friends arrest was dismissed the next day and they feel that their friend is being harassed by the officers and the detective.",04/29/2022,,6679,high
22-0194,2022-05-12 04:00:00+00,2500.0,LACK OF SERVICE,"According to the complainant, on 4-20-22 at 8:46 PM, while in the confines of the 25th District, they were rear ended by a vehicle that was being chased by police. The complainant states rescue transported them to a hospital and that their truck was impounded. The complainant states that officers never took their information and failed to prepare a report in reference to the accident or their injuries.",04/20/2022,8:46 PM,6680,low
22-0195,2022-05-11 04:00:00+00,300.0,DOMESTIC,"According to the complainant, while in the confines of the 3rd District, they have been dating an officer off and on for 13 years and steadily dating for the last 2 years. The complainant states that on 5-6-22, they had a disagreement. The complainant also states that the officer accused them of harassment and threatened to file a police report against them. The complainant states that the officer also said, Â¿You ruined my vacation, I am going to ruin you.Â¿ The complainant further states that the officer has visited their home on several occasions while on duty, in their patrol car.",05/06/2022,,6681,high
22-0196,2022-05-12 04:00:00+00,200.0,LACK OF SERVICE,"According to the complainant, on 10-21-20, police found their family member shot, within the confines of the 2nd District. The complainant states their family member was alive but unresponsive. The complainant states officers transported their family member to a hospital where they later passed away. The complainant states officers did not secure the crime scene and the Crime Scene Unit was not dispatched. The next day, on 10-22-20, the complainant and other family members went to the location of their family members murder and discovered several shell casings. The complainant called 911, and when officers arrived, they began to pick up the evidence with their bare hands. The complainant states that police were negligent in processing the scene and cameras in the area were never reviewed. The complainant further states that they believe that their family members case is not being properly investigated because one of the individuals involved in the murder is a police officerÂ¿s child.",10/21/2020,,6682,low
22-0197,2022-05-18 04:00:00+00,2500.0,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 4-13-22 at 11:30 AM, while in the confines of the 25th District, they were almost run over by a truck that was driven by someone they knew, during a dispute. The complainant states the individual had a gun. The complainant states that when police arrived, the officer sided with the offender because they were both of the same race. The complainant states officers did not properly investigate the situation, they did not speak to any of the witnesses, view video footage, did not arrest the offender and instead arrested them.",04/13/2022,11:30 AM,6683,high
22-0198,2022-05-13 04:00:00+00,7700.0,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 5-10-22 at 6:37 AM, they parked their vehicle in the confines of the Airport District, to help their family member check-in. As the complainant unloaded their vehicle, they did not notice any signs prohibiting them from stopping there and saw an officer stationed nearby. The complainant states that they said hello to the officer but the officer ignored them, so they proceeded into the building. When the complainant came out of the building, they noticed the same officer giving them a ticket. The complainant states that the officer became angry when they approached and questioned them about the ticket. The complainant states the officer advanced towards them in an aggressive manner and became loud in an intimidating way. The complainant believes that this interaction was an example of racism and was a product of the officerÂ¿s personal feelings towards people of a different race.",05/10/2022,6:37 AM,6684,low
22-0199,2022-05-13 04:00:00+00,800.0,LACK OF SERVICE,"According to the complainant, on 2-9-22 at 12:50 PM, they went to the 8th District to report that they were the victim of identity theft and fraud by a known doer. The complainant states that over $23,000.00 USC was taken from their account. On 2-12-22, they arrived at the 8th District to report that their mail was being tampered with. The complainant states that a police supervisor refused to take their report and only did so after 20 minutes of begging and pleading. On 2-25-22, they went back to the 8th District, to speak to a detective but was told that detectives were busy and short staffed. The complainant states they have been unable to contact the detective, nor have they attempted to contact them.",02/09/2022,12:50 PM,6685,low
22-0361,2022-08-15 04:00:00+00,1500.0,CRIMINAL ALLEGATION,"According to the complainant on 8-9-22, while in the confines of the 15th District, stated that on 7-31-22, two officers, entered their property. The complainant states that they had an ounce of marijuana and $13,000.00 USC on top of their television. The complainant states that one of the officers told them that they would not be arrested if they gave the money to them, complainant complied. The complainant at that time did not want to prepare a complaint form, nor did they want to be interviewed. The complainant did not return the complainant form as of this date.",08/09/2022,,6847,high
17-0105,2017-03-10 05:00:00+00,1600.0,DEPARTMENTAL VIOLATIONS,"According to the complaint, on 03-03-17 at 3:52pm, they did not receive proper service from officers assigned to the 16th District.",03/03/2017,3:52 PM,3361,medium
22-0362,2022-08-16 04:00:00+00,2500.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, their client is a complaining witness against an individual, who has threatened the complainantÂ¿s client on numerous occasions, referencing their relationship with an officer. The complainant states their client believes that the officer is providing said individual information that would normally only be available to law enforcement.",,,6848,medium
22-0363,2022-08-15 04:00:00+00,2600.0,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-7-22 at 1:00 AM, while in the confines of the 26th District, they were at a club, when they called because they were afraid they were going to be assaulted. The complainant states that the offenders had warrants for their arrest but the officer refused to check their identifications and let them go. The complainant also states that the officer was rude and disrespectful towards them, and called them a freak.",08/07/2022,1:00 AM,6849,medium
22-0364,2022-08-15 04:00:00+00,100.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-10-22 at 3:00 AM, while in confines of the 1st District, they were walking home, they noticed a patrol car, with the lights on, parked on the corner near their home. The complainant knocked on the window of the patrol car to make sure everything was okay and found that the officer was taking a nap.",08/10/2022,3:00 AM,6850,medium
22-0365,2022-08-16 04:00:00+00,1200.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-7-22 at 4:00 PM, while in the confines of the 12th District, they turned on the fire hydrant. The complainant states that they were later approached by two officers who told them to turn off the fire hydrant. The complainant refused. At that time, the officers called the fire department to turn off the hydrant and confiscated the complainantÂ¿s fire hydrant key, a clamp and a socket. The complainant states that they were improperly detained and they asked for a supervisor several times but one never arrived. The complainant states that when the officers released them, they went home and called for a supervisor. The responding supervisor called the same officers out to return the complainantÂ¿s property but they still refused to give it to them unless they signed a citation for illegally opening the fire hydrant. The complainant believes the citation was only issued because the officers had to return their property back.",08/07/2022,4:00 PM,6851,medium
22-0366,2022-08-17 04:00:00+00,800.0,HARASSMENT,"According to the complainant, on 8-08-22, while in the confines of the 8th District, their family member brought a friend, who is an off duty officer, to help gather their belongings. When the complainant questioned them about what they were doing, the officer flashed their gun and badge, then said, Â¿Get back downstairs, sit in your chair, we gona do, what we gota do.Â¿ The complainant states that they felt threatened and complied. On 8-10-22, three officers along with a nurse arrived at their residence. The complainant advised the officers that they had a loaded weapon on their TV. The complainant states that while the officers where still there, they used the bathroom and after the officers left, they noticed that their weapon, a BB gun, was missing.",08/08/2022,,6852,high
