general_cap_classification,summary,label
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were falsely arrested and departmental policies were violated by unknown officers. Officers placed them in handcuffs and threw them in the back of the police wagon. Officers confiscated their firearm. The complainant asked the officers where they were taking them and told them that their child, who is a minor, was on the street by themselves. The complainant states that they were wrongfully arrested and their child was not regarded in this matter.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , they observed a vehicle matching the description of a repossession they were looking for, parked in a parking lot. The complainant states that after they exited the lot, they were stopped by a black sedan, operated by a police supervisor. The supervisor asked the complainant why they were in the police lot. The complainant explained they were searching for a repossession. An argument ensued. The complainant then left the area and continued to search for the repossession. The complainant was then stopped by another police supervisor, who asked the complainant for the Â¿writ,Â¿ at which point the complainant informed the supervisor that they did not need one. The supervisor ripped the driverÂ¿s documents out of their hand violently. Truck Enforcement officers arrived and found no violations on their truck. The complainant asked multiple times for their names and badge numbers, but was told that they will give it to them when they were ready.",medium
UNPROFESSIONAL CONDUCT,"while in the confines of , they were treated unprofessionally by an unknown 911 call taker. They called 911 to report a suspicious vehicle. The complainant told the operator that the windows were blacked out. The call taker asked the complainant if anyone was inside of the vehicle. The complainant said, Â¿I just told you the windows were blacked out.Â¿ The call taker yelled at the complainant and hung up the phone. The complainant called 911 back and spoke to a supervisor who advised them to file this complaint.",medium
PHYSICAL ABUSE,"on behalf of their client, states that while in the confines of , their client was physically abused and departmental policies were violated by an officer and departmental policies were violated by a sergeant assigned to . The officer and sergeant responded to the location. The complainantÂ¿s client was sleeping inside of a vehicle. The officer grabbed the complainant and pushed them to the ground. The officer then pushed the complainant with two hands in the chest area with force causing their client to fall into another officer and then to the ground. The complainant states that their client was arrested, but the case was now withdrawn. The complainant states that the sergeant was the officerÂ¿s supervisor and believes that the sergeant failed to properly supervise them.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , an unknown officer violated departmental policies. They witnessed an officer approach another officer outside of a club. The officer that approached the other officer was holding what appeared to be a cup of beer and smoking a cigar. Video footage available.",medium
UNPROFESSIONAL CONDUCT,"and on behalf of a pedestrian, states  while in the confines of , they were treated unprofessionally and the pedestrian was improperly stopped and searched by  officers and a sergeant. They witnessed officers stop a pedestrian and corner them. The officers grabbed the pedestrian and went through the pedestrianÂ¿s backpack. The complainant approached the officers to ask them if that was necessary. The officers dismissed them and asked them to present a tax bill. The sergeant allowed their officers to not identify themselves and was frustrated when they asked for a complaint form.",medium
VERBAL ABUSE,they were verbally abused by an officer assigned to Highway Patrol. This incident occurred in the confines of .,medium
DEPARTMENTAL VIOLATIONS,departmental policies were not followed by an unidentified officer. This incident occurred in the confines of .,medium
LACK OF SERVICE,"sometime during January 2017 , they did not receive proper service from officers and was harassed by a corporal assigned to .",low
LACK OF SERVICE,they did not receive proper service from officers assigned to the 16th & .,low
LACK OF SERVICE,a proper investigation was failed to be conducted by officers assigned to .,low
PHYSICAL ABUSE,they were physically abused by a sergeant assigned to .,high
CRIMINAL ALLEGATION,they were physically abused and are missing property after being stopped by officers assigned to .,high
DEPARTMENTAL VIOLATIONS,they were harassed and proper procedures were not followed by an officer assigned to .,medium
DEPARTMENTAL VIOLATIONS,proper procedures were not followed by a detective assigned to Southwest Detective Division.,medium
DEPARTMENTAL VIOLATIONS,their vehicle was improperly searched by officers assigned to .,medium
DOMESTIC,they were assaulted and a proper investigation was not conducted by a sergeant assigned to Training and Education Services. The incident occurred in the confines of .,high
PHYSICAL ABUSE,they were physically abused and harassed by officers assigned to .,high
LACK OF SERVICE,they did not receive proper service from an officer assigned to .,low
CRIMINAL ALLEGATION,at approximatelyan unidentified officer took money from them. The incident occurred in the confines of .,high
VERBAL ABUSE,they were verbally abused by officers assigned to .,medium
DEPARTMENTAL VIOLATIONS,According to the complaintthey were harassed and physically abused by officers assigned to .,medium
DEPARTMENTAL VIOLATIONS,proper procedures were not followed by officers assigned to .,medium
DEPARTMENTAL VIOLATIONS,their vehicle was confiscated and proper police procedures were not followed by a detective assigned to Major Crimes.,medium
VERBAL ABUSE,they called 911 and were verbally abused by an unknown dispatcher.,medium
LACK OF SERVICE,they did not receive proper service from officers assigned to .,low
LACK OF SERVICE,proper service was not provided by officers assigned to .,low
DEPARTMENTAL VIOLATIONS,their vehicle was damaged by officers assigned to .,medium
HARASSMENT,they were harassed by officers assigned to .,high
LACK OF SERVICE,their family members did not receive proper service from unknown 911 call takers and officers assigned to .,low
PHYSICAL ABUSE,According to the complaintthey were improperly stopped and threatened by an officer assigned to .,high
LACK OF SERVICE,"at 10am, they did not receive proper service from officers assigned to .",low
DEPARTMENTAL VIOLATIONS,their vehicle was damaged by officer assigned to .,medium
LACK OF SERVICE,they did not receive proper service from Sergeants assigned to .,low
LACK OF SERVICE,they did not receive proper service from a sergeant and lieutenant assigned to .,low
PHYSICAL ABUSE,According to the complaint they were physically abused by an unknown officer. This incident occurred in the confines of .,high
LACK OF SERVICE,they did not receive proper service from unidentified police personnel. This incident occurred in the confines of .,low
LACK OF SERVICE,since  they have not received proper service from officers and a sergeant assigned to .,low
DEPARTMENTAL VIOLATIONS,their residence was improperly entered and property was damaged by officers assigned to .,medium
PHYSICAL ABUSE,they were physically abused and harassed by officers assigned to .,high
VERBAL ABUSE,"while in the confines of , they called police to report a prior theft. The responding officer was rude towards them. The complainant states that the officer criticized and blamed them, even though they were the victim.",medium
CIVIL RIGHTS COMPLAINT,their person and their vehicle were improperly searched by officers assigned to .,low
LACK OF SERVICE,"while in the confines of , they were assaulted by an unknown individual. The complainant states that he filed a police report and later informed the assigned detective that they wanted to press charges. The complainant states that as of this date, they have not heard anything about their case.",low
DEPARTMENTAL VIOLATIONS,while in the confines of  they were stopped by police. The officer asked for the complainantÂ¿s information but refused to tell them why they were stopped. The complainant states that the officer later accused them of motor vehicle violations that they did not commit. The complainant states that the officer began to ask them questions as if they were criminals and feels that they were harassed.,medium
LACK OF SERVICE,"while in the confines of , they did not receive proper service from unknown  officers. They waited over 4 hours for police to arrive for an approved 302 petition.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , a  officer violated departmental policies. Their employee of a repossession business attempted to seize a vehicle while in possession of an order to repossess. The officer arrived and forced the complainantÂ¿s employee to unload the vehicle because it was in a Â¿try and locate status.Â¿ The complainant states that the lienholder of the vehicle is now holding his company responsible.",medium
LACK OF SERVICE,"while in the confines of , they did not receive proper service from unknown  officers. There was a shooting in the area of a school. The complainant states that no police arrived in the area of the school to protect the children.",high
VERBAL ABUSE,"while in the confines of , they were verbally abused by an unknown 911 call taker. They called 911 to report that they heard gunshots. The complainant states that the 911 call taker was unprofessional. The call taker asked the complainant if they, or anyone in their household, were on drugs.",high
PHYSICAL ABUSE,they were physically abused by officers assigned to the Airport Unit. The complainant states that officers utilized excessive force while taking them into custody and transporting them to a hospital.,high
PHYSICAL ABUSE,they were physically abused by officers assigned to the Airport Unit. The complainant states that officers utilized excessive force while taking them into custody and transporting them to a hospital.,high
LACK OF SERVICE,"their family member was dropped off at  by their assailants; after being assaulted. The complainant states that their family member walked into the district, with blood and throw up all over them. The complainant states that when they arrived at the district to pick up their family member, an officer told them that their family member was complaining about chest pains and needs to get to a hospital. The complainant states that they later managed to flag down another officer and asked for an ambulance. The complainant states their family member sustained serious injuries and that an ambulance should have been called from .",low
PHYSICAL ABUSE,"while in the confines of , they were pulled over by an officer and issued several tickets. The complainant states that after they were handed the tickets, they opened their car door, threw the tickets on the ground, and pulled off. The complainant states that they saw the officer through their rear view mirror, pick up the tickets, get back in their car and pulled them over again. The complainant states that the officers cut their vehicle off, had their guns out, grabbed them by their hoody and slammed them on the trunk of their car, before handcuffing them. When the complainant arrived at the district, another officer asked what they were in for and the officer responded, Â¿D*ck head tried to run me over.Â¿ The complainant states this was all lies.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , they double parked in front of their home, and ran inside to pick up their child. The complainant states that an officer pulled up behind their car and started to honk their horn. The complainant states that when they explained to the officer what they were doing, the officer yelled that they did not care. The complainant states that a few weeks later, they received a ticket in the mail for being double-parked that day.",medium
LACK OF SERVICE,"while in the confines of , their vehicle was rear ended by another vehicle. The complainant states that they were assaulted by the other driver and police were called. The responding officer refused to take a report of any kind and then asked, what did they want them to do. The complainant also states that the officer provided them with incorrect information regarding the steps they should take, if they wanted to report the incident.",low
LACK OF SERVICE,"while in the confines of , two of their vehicles were struck. The complainant states that the driver left the scene but the driverÂ¿s significant other arrived at the location of the accident. The complainant states that the officer did not take the situation seriously; they laughed and talked with the driverÂ¿s significant other, instead of questioning them about the driver. The complainant states that the officer did nothing about the fact that the driver was drunk and left the scene of an accident before police arrival.",low
PHYSICAL ABUSE,"while in the confines of , they were in a bar, when a fight broke out and they were pushed outside. The complainant states that they were watching officers talk to their family member, when an officer pushed them and another officer approached them, gesturing that they wanted to fight them. Officers searched the complainantÂ¿s vehicle and found their legal weapon. The complainant states that when they were taken into custody, the sergeant twisted their arm as they put the handcuffs on them. The complainant states that they asked the officers if they could loosen the handcuffs or take them off but they refused. The complainant was so upset that they vomited in the patrol wagon. When the complainant realized that their gun was missing, they went back to the district and the sergeant said in a nasty manner, that they had their gun.",high
LACK OF SERVICE,proper police procedures were not followed by officers assigned to  and detectives assigned to Homicide.,low
CIVIL RIGHTS COMPLAINT,on behalf of an unknown personwhile in the confines of ; the unknown personÂ¿s civil rights were violated by unknown officers. They noticed police officers along with sanitation officers remove a personÂ¿s belongings. The complainant states that the person has been at the same location for approximately 16 months. The complainant states that the officers did not offer the person any aid or resources to help them.,low
DEPARTMENTAL VIOLATIONS,"while in the confines of , a detective assigned to the Shooting Investigation Group violated departmental policy. They called 911 after their vehicle was stolen. The complainant found their vehicle a few blocks away. The complainant jumped into their vehicle and was then shot. The complainant woke up in a hospital bed being questioned by a police officer, lieutenant and two detectives. The complainant states that a detective acted sarcastic and made them feel like a suspect, not a victim. Later that morning, the complainantÂ¿s parent received a text message containing confidential police department information, which included the complainantÂ¿s personnal information.",medium
LACK OF SERVICE,"while in the confines of , a  officer did not provide proper service. While walking with their partner, they were approached by a person who asked for spare change. When they declined, the person pulled out a knife and chased them. The complainant noticed a police car conducting a vehicle investigation and was in the process of writing a traffic citation. The complainant approached the patrol car and told the officer what had just occurred. The officer said that they were too busy and told them to call 911. The complainant called 911. Approximately 10 minutes later, the same officer responded and took their report. The complainant states that they noticed the same person was walking freely and had not been apprehended.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , a  officer performed an improper search and violated departmental policies. Their vehicle was Â¿Live-StoppedÂ¿ even though all of their information was valid. During the vehicle investigation, the officer turned the complainantÂ¿s vehicle off and the temperature outside was 90 degrees. A short while later, the complainant was told to exit their vehicle and told that it will be towed. The officer then proceeded to search the complainantÂ¿s vehicle without permission.",medium
LACK OF SERVICE,"while in the confines of , they went to the district to file a fraud report. The complainant states that the corporal and officer did not appear to be able to hear them nor grasp the details of the fraud. The complainant feels that they could not accurately report the crime.",low
DEPARTMENTAL VIOLATIONS,"According to the complainants while in the confines of , a detective along with officers entered their residence to execute a warrant. The complainants state that the detective was disrespectful and argumentative with them. The complainants feel that the situation was racist and that they were targeted. The complainants state that they cooperated with the officers, so there was no reason for them to be treated so inhumanely. The complainants also state that that their home was damaged during the search.",medium
HARASSMENT,"while in the confines of , they were harassed and departmental policies were violated by a  officer. They and their family have been harassed by the officer after they were in a relationship with the officerÂ¿s spouse. The complainant states that they have noticed the officer at their place of employment more frequently lately. The officer has told  officers and their co-workers about the relationship. The officer took a photo of their license plate and believes that the officer used departmental equipment to obtain their personal information.  the complainantÂ¿s family members began receiving unknown/blocked calls on their phones. The complainantÂ¿s family member answered one call and it was the officer who threatened to tell family members about their relationship.  the complainant states their vehicle was vandalized.  the officer posted the complainantÂ¿s face on social media with a caption.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were injured during a shooting. The complainant was handcuffed and placed in a patrol car. A medic cleaned their wound and the medic told them that they did not need to go to the hospital. When the complainant was transported to the detective division to be interviewed, officers felt they needed to go to the hospital and they were returned to the district. The complainant asked if they were under arrest but no one would answer them. The complainant stayed overnight in a cell room and was not able to call their family members, did not receive medical treatment, nor where they questioned by detectives.  the complainant was charged with three different crimes. The complainant states they do not know the whereabouts of their firearm, and stated their valuables were stolen out of their vehicle while they were sitting in a cell room.",high
UNPROFESSIONAL CONDUCT,"and  while in the confines of , they were treated unprofessionally by two  officers. Officers were sent to a home to do a welfare check on their parent. The complainantÂ¿s parent has a medical condition and their child has Power of Attorney. The complainant states that during a visit, their sibling took their father to their home, out of state in Philadelphia, PA. The complainant believes that their parent was abducted by their sibling. The complainant believes that their parent was abducted by their family member. Officers will not look at documentation about their parentÂ¿s mental state or the Power of Attorney. Officers will not adequately explain why they can not help them. An officer said in a loud tone that they had already helped them and welfare checks are not the responsibility of the police. An officer told the complainant that their own parent has the same medical condition and they did not believe that their parent suffered from it.",medium
VERBAL ABUSE,they were verbally abused by an officer assigned to .,medium
VERBAL ABUSE,According to the complaintthey were verbally abused by an officer assigned to .,medium
DOMESTIC,they abused their police powers while off-duty. The officer is assigned to .,high
UNPROFESSIONAL CONDUCT,"while in the confines of , they were the victim of an assault by an individual they allowed to live with them. The complainant called 911 but later fell asleep. The responding officers spoke to the assailant but not them. The complainant states they left their phone number with the 911 operator for the officers to call them when they arrived, but they did not. The complainant states they called 911 again, police responded and took a report that they later discovered was incorrectly prepared. Also, one of the officers was aggressive and rude.  the complainant went to the district and was able to file a correct report.",medium
PHYSICAL ABUSE,"while in the confines of , they dropped off their partner on the highway. A school crossing guard nearby called over an officer. The officer proceeded to push their partner and said Â¿What the f*ck are you going to do?Â¿ The officer then knocked on the complainantÂ¿s window and told them to move their car. The complainant states that they told the officer that they could not back up or move the car until the children move. The officer told them to turn their f*cking wheel and leave. The officer began to yell and curse. The complainant became afraid and complied. The complainant drove to the next block and parked. The officer ran to the complainant and knocked on the window again. The officer told the complainant that they struck another vehicle. The complainantÂ¿s partner approached the vehicle. The officer told them to shut the f*ck up and pushed them again. The complainant states that they exited the vehicle. The officer pushed them multiple times, grabbed their wrist and stated they were going to cuff them. Another officer approached and told the officer to calm down and smacked the handcuffs out of their hand.",high
LACK OF SERVICE,"states while in the confines of , an officer responded to a call for illegally parked vehicles. The complainant states the responding officer knocked on the door of the person illegally parked instead of writing tickets and told them that they are getting off soon. The complainant states that the officer begged the owner of the vehicle for an hour, even after the owner told the officer that they did not care about a ticket. The complainant pointed to the tow signs, but the officer refused to write the ticket until a supervisor was called.",low
LACK OF SERVICE,"while in the confines of , they did not receive proper service from an unknown officer. They attempted to talk to an officer, but the officer walked away and acted as if they did not care. The officer did not take any information and brushed them off to another officer.",low
PHYSICAL ABUSE,"while in the confines of , they called 911 for help but when officers responded, they beat them. A supervisor was called to the location but did nothing. The complainant also states that they made an inappropriate comment.",high
PHYSICAL ABUSE,"while in the confines of , police approached them and placed in them in handcuffs. The complainant states that officers then began fighting them to take off the handcuffs.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , they flagged down an officer and stated that they had been involved in a verbal dispute involving a road rage incident with an off-duty officer. The complainant stated that the off-duty officer displayed their firearm at them but did not point it at them.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , they called 911. The complainant states that the officers who responded, were hostile towards them and would not write down their names or badge numbers for them.",medium
LACK OF SERVICE,"while in the confines of , they called 911 numerous times to their residence, in reference to their neighbors harassing them. The complainant was put in touch with the community relations officer. The complainant states that officer was rude to them and was disinterested in their situation. The complainant states that the officer refused to see them and discuss the problems they were having with their neighbors.",low
PHYSICAL ABUSE,"while in the confines of , they noticed officers riding in the street and yelled out their window to them, that it was not a bike lane. As the complainant continued driving, they saw an officer trying to chase them down. The complainant states that after two blocks, the officer stopped them. The officers informed the complainant that they were stopped because they had almost struck the officers. The complainant states that an officer put their hands on them for no reason, they began to scuffle and another officer broke it up.",high
LACK OF SERVICE,"while in the confines of , they called the district because they were attempting to 302 a family member. The complainant states they repeatedly called the district for assistance but officers never arrived.",low
LACK OF SERVICE,they did not receive proper service from officers assigned to .,low
LACK OF SERVICE,they did not receive proper service from an officer assigned to  and other unidentified officers.,low
NON-INVESTIGATORY INCIDENT,they were falsely arrested by an officer assigned to the DVIC.,low
DEPARTMENTAL VIOLATIONS,they were harassed by an officer assigned to .,medium
VERBAL ABUSE,"at approximatelyhe was threatened by an off-duty officer known to them as ""B"".",medium
DEPARTMENTAL VIOLATIONS,their property was improperly entered by officers assigned to .,medium
PHYSICAL ABUSE,they were physically abused by officers assigned to .,high
DEPARTMENTAL VIOLATIONS,they were falsely arrested by an officer assigned to .,medium
LACK OF SERVICE,they did not receive proper service and were treated unprofessionally by an officer assigned to .,low
LACK OF SERVICE,they did not receive proper service from an officer assigned to .,low
PHYSICAL ABUSE,a patient was physically abused by an officer assigned to .,high
PHYSICAL ABUSE,they were physically abused by an officer assigned to .,high
LACK OF SERVICE,they did not receive proper service from an officer assigned to .,low
VERBAL ABUSE,they were harassed by a sergeant assigned to .,medium
NON-INVESTIGATORY INCIDENT,they were falsely arrested by offices assigned to .,low
PHYSICAL ABUSE,they were verbally abused and threatened by an officer assigned to .,high
DEPARTMENTAL VIOLATIONS,they were verbally abused and is missing property after being arrested by a sergeant assigned to .,medium
PHYSICAL ABUSE,they were physically abused and their property is missing after arrested by officers assigned to .,high
LACK OF SERVICE,"According to the complaint, they did not receive proper service from unknown  officers on two different dates.",low
DEPARTMENTAL VIOLATIONS,they are missing property after their arrest by officers assigned to .,medium
LACK OF SERVICE,"at 6pm, they did not receive proper service from and was treated unprofessionally by an officer assigned to .",low
VERBAL ABUSE,they were verbally abused by a detective assigned to Northeast Detective Division.,medium
VERBAL ABUSE,they were verbally abused by an officer assigned to .,medium
VERBAL ABUSE,their family member was threatened and verbally abused by an unknown  officer.,medium
PHYSICAL ABUSE,they were physically abused and improperly searched by officers assigned to .,high
VERBAL ABUSE,"they were verbally abused, improperly detained and not given proper service by an officer assigned to .",medium
DEPARTMENTAL VIOLATIONS,they were physically and verbally abused by officers assigned to .,medium
PHYSICAL ABUSE,their family member was physically and verbally abused by an officer assigned to .,high
DEPARTMENTAL VIOLATIONS,their family member is missing property after their arrest by an officer assigned to .,medium
PHYSICAL ABUSE,their juvenile family member was physically abused by an off duty officer assigned to . The incident occurred in the confines of .,high
DEPARTMENTAL VIOLATIONS,"According to the complainants, since 2013, they are being harassed and verbally abused by officers from .",medium
DEPARTMENTAL VIOLATIONS,"on unknown dates, while in the confines of , two officers have planted guns on people, process the arrests and then do not show up for court. The complainant states that a supervisor is aware of the actions of these officers. The complainant also states that the same supervisor has previously opened an investigation against another officer out of retaliation.",high
DEPARTMENTAL VIOLATIONS,"on unspecified dates, some of the supervisors assigned to  leave early and an unnamed employee never docks their camera. The complainant also states that one of the supervisors are encouraging officers to be insubordinate to another supervisor.  there was a cookout at the district and alcohol was involved. The complainant also alleges that there is alcohol being stored in the cell room.",medium
LACK OF SERVICE,"while in the confines of , they went to the district to get a restraining order served. The complainant provided the officer at the window with the address of the person the restraining order was against and the officer told them that they had the wrong district. The officer told them that they needed to go to the district where the restraining order was to be served. The complainant was confused because their documentation said that they had to go to the district where they lived to get it served. The complainant states that when they asked the officer to explain the procedure, they refused to answer them and said that it was not their issue. When the complainant continued to question the officer, they said that they did not have time for this and turned off their body worn camera. The complainant states that they left the district due to feeling uncomfortable with the situation.",low
HARASSMENT,"for the past 8 months, while in the confines of , they have been harassed by an officer. The complainant states that they argued with the officer. The complainant states that the officer accused them of slapping them. The complainant states that this is a lie and that there are cameras there to prove it.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , a family member passed away and a detective was assigned to the incident. The complainant states the detective released information to a non-family member, someone who claimed to be their spouse. The complainant states that they called two weeks after their family memberÂ¿s death with information that was found on the deceased family members phone, asking that the case be further investigated. The complainant states they were blown off and told that there was nothing else to be done. The complainant also states that the they feel that the detective lacked compassion when dealing with their family.",medium
LACK OF SERVICE,"while in the confines of , they called 911 in reference to illegal parking, racing cars, and loud music coming from a banquet hall. The complainant states that there were several calls to 911 made by them but police never responded.",low
LACK OF SERVICE,"while in the confines of , they called 911 because their neighbors refused to turn down their loud music. The complainant states that they were told that officers would be sent out but the loud music continued for hours.",low
UNPROFESSIONAL CONDUCT,"while in the confines of , they arrived at the district to report being the victim of a possible crime. The complainant states that when their family member tried to explain to an officer what happened, they were continuously interrupted by the officer with inappropriate comments. The complainant further states that the officer filed a report on what they thought happened instead of what their family member said. The complainant states that the Special Victims Unit would not investigate the incident based on what the officer said in their report.",medium
DEPARTMENTAL VIOLATIONS,"on unspecified dates and times, while in the confines of , a police dispatcher has misused city equipment to find people and harm them. The complainant states that they were attacked by the dispatcher multiple times. The complainant also states that the dispatcher has told them that they knows where they live, because they looked it up while at work. The complainant also states that the dispatcher has parked on their block and threatened them and their family members.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , their vehicle was stolen and  they reported it to police.  the complainantÂ¿s vehicle was recovered by police but they were never notified. The complainant states that their vehicle was towed to a recovery lot and they had to pay $400.00 to get it out of the lot.",medium
UNPROFESSIONAL CONDUCT,"while in the confines of , SWAT officers knocked on their door to serve a warrant. As the complainantÂ¿s family member walked down the steps to open the door, officers knocked the door in and entered the home. The complainant and their family members were detained inside of the home while officers went through the house. The complainant states that the officers were rude and disrespectful. When the complainant asked a supervisor for their name and badge number, they refused.",medium
UNPROFESSIONAL CONDUCT,"while in , they were stopped by police, when they ran a red light. The complainant states that when the officer approached their vehicle, the officer was immediately hostile, rude, demeaning and extremely rude to them. The complainant attempted to explain that their infant was crying and needed a diaper change, but the officer said, Â¿So you ran a red light with kids in the car."" The complainant states that they handed the officer their license and when they explained that their insurance card was on the phone, the officer became enraged, berating them for not having their insurance card on paper for them to scan. The complainant states that they felt that the officer verbally attacked them and traumatized their children.",high
NON-INVESTIGATORY INCIDENT,"while in the confines of another jurisdiction, they were threatened by an unknown off-duty officer. They noticed the officer driving erratically. When the complainant honked their horn, the officer jumped out of their vehicle, said, Â¿f*ck youÂ¿ multiple times and challenged them to fight. The complainant told them that they were not a very good example for the Philadelphia Police Department, since they were wearing a Philadelphia Police Department shirt and had a firearm exposed. When the complainant wrote the officerÂ¿s license plate number down, the officer yelled more expletives, including some that could be considered racist.",low
UNPROFESSIONAL CONDUCT,"while in the confines of , they were treated unprofessionally by a detective assigned to South Detective Division. They went to watch a baseball game with their family. The complainant, who is in law enforcement, had their firearm on their person. The security officers told the complainant that they could lock their firearm up with the police at the park. The complainant states that the detective told them that if they did not come back by the 8th inning, they would take their firearm with them and they would have to call the chief to get it back. They began to argue because the complainant wanted to watch the entire game. The detective told them that they could just leave and call the manager to get a refund.",medium
FALSIFICATION,"while in the confines of , their ex-spouseÂ¿s family member, an off-duty officer, threatened to have them arrested.  the complainant called 911 to serve a Protection from Abuse Order on their ex-spouse. While waiting for police near their ex-spouseÂ¿s home, the off-duty officer approached their vehicle and said that they are going to make sure they get locked up. The complainant states that when they got into a verbal altercation, the complainant left. Moments later, the complainant arrived back to the location so that police can serve their order. Upon the complainants arrival, an officer told them to get out of their vehicle, placed them in handcuffs and searched their vehicle. A supervisor arrived on location and confirmed that the complainant was the one who called 911. The complainant was released. The complainant states that the off-duty officer made a false statement to police, alleging that they threatened them with a firearm. As a result, a warrant was issued for the complainantÂ¿s arrest and their home was searched for a firearm. The complainant states that they do not own a firearm and was incarcerated for over 30 days due to the false statement provided by the off-duty officer.",medium
DOMESTIC,"while in the confines of , they were involved in a domestic incident with their ex-significant other, an officer assigned to the Employee Assistance Program. They called 911 because the officer violated a Protection from Abuse Order. The complainant waited 25 minutes, called 911 again and requested a supervisor.",high
DOMESTIC,"while in the confines of , an off-duty  officer was involved in a domestic incident with their significant other. The complainant states that the officerÂ¿s significant other was left with an egg on their forehead. The complainant also states that the officerÂ¿s significant other moved out the following day.",high
DEPARTMENTAL VIOLATIONS,"an individual was assaulted while in the confines of . The victim of the assault reported the incident to police. The complainant states the detective showed the victim a photo of the complainant, which resulted in the complainantÂ¿s arrest without any further investigation. The complainant reported they were wrongfully arrested because the detective misspelled the last name of the perpetrator, resulting in the complainantÂ¿s arrest instead of the right person with a similar name.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were improperly stopped by  officers. They were pulled over by police. The complainant states that the officers ran a red light to pull them over. The complainant states that they pulled into a spot and parked their vehicle. The complainant also states that they lied on the body camera for the reason of the stop.",medium
PHYSICAL ABUSE,"while in the confines of , they were physically abused and harassed by a  officer. They called 911 to report a violation of a custody agreement. The complainant states that they were physically abused by an officer. The complainant states that they have video of the incident.",high
LACK OF SERVICE,"while in the confines of , they did not receive proper service from a sergeant and two officers assigned to . A person entered their property without their permission. The complainants called 911. The person left the house through a window. Officers arrived on location, and the complainants pointing in the direction the person was located. The complainants waited on their front steps for the officers to return, but no one came. The complainants went back into their property and called the district to see what was going on. They were told someone would get back to them. Still, no one arrived. They then noticed several items missing and the home ransacked. The next day, the complainants went to the district and were informed that the officers did catch the person, but allowed the person to leave. The person also gave a fake name. A report was then taken and they spoke to a detective.",low
VERBAL ABUSE,"while in the confines of , a 911 dispatcher was very rude to them and yelled in their ear.",medium
VERBAL ABUSE,"while in the confines of , they were walking in front of a driveway at the opening of an apartment building, when an officer slammed on their brakes after seeing them crossing. The complainant states that the officer was driving very fast and almost struck them. When the complainant jokingly told the officer that they needed to give themselves a ticket, the officer replied that they did not care and sped away. The complainant states that they felt what the officer said was uncalled for and that they were disrespected.",medium
LACK OF SERVICE,"while in , they reported on numerous occasions to police that they are being harassed by their previous employer. The complainant states that their computer and phone have been compromised. The complainant has also found a tracker on their vehicle. The complainant states that they feel that officers are not taking them seriously and they have not heard back from anyone in reference to their complaints.",low
PHYSICAL ABUSE,"while in the confines of , they stopped their truck to talk to a friend, when an officer approached them. The complainant states that the officer said that they were lucky that they had their f**king kids in the car. The complainant stepped out of their vehicle and asked the officer if they just threatened them. The complainant states that the officer said, Â¿You heard what the f**k I saidÂ¿ and they asked for a supervisor. The complainant states that as they were walking back towards their truck, an officer grabbed their arm and they began tussling. The complainant states that two other officers came over and began tussling with them as well. The complainant was struck on the right side in the ribs.",high
HARASSMENT,"According to the complainants one of them were involved in a domestic incident with their spouse, police were called and an officer responded. After the incident, two of the complainants, who reside out of state, received a phone call from the spouseÂ¿s family member, an officer assigned to the 22nd, swearing and threatening that they were going to harm their family member. According to one of the complainants, the same officer constantly harasses and threatens them. The complainant also states that they are the victim of Domestic Violence, but never went through with charges against their abuser because the officer has threatened to turn it around on them if they did so.",high
VERBAL ABUSE,"while in the confines of , they were verbally abused by a  officer. The officer approached them in an aggressive manner. The complainant states that the officer disrespected them by commenting on their attire.",medium
LACK OF SERVICE,they did not receive proper service from civilians and a supervisor assigned to the Radio Room.,low
PHYSICAL ABUSE,"they were improperly searched, threatened and treated unprofessionally by a sergeant and officers assigned to .",high
PHYSICAL ABUSE,they were physically abused by an officer assigned to the Center City District.,high
PHYSICAL ABUSE,they witnessed unknown  officers physically abuse an unknown person.,high
VERBAL ABUSE,"while parked in the confines of , playing music in their car, an officer approached them and they had a brief conversation before the officer walked away. When the complainant put their music up, the officer walked back over to them, touched their shoulder and asked them to turn the music down. The complainant states that they told the officer they did not have to put their music down and began to explain the noise ordinance to the officer, while recording. The complainant states the officer intimidated them by being in their personal space, causing the complainant to beg them to get away repeatedly. The complainant states that the officer continued being argumentative, even after the complainant turned their music off. The complainant also states that an unknown person intentionally slapped their arm in front of the officer, and that the officer did nothing about it.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , unknown officers violated departmental policy. Officers came to their home and broke the front door. The complainant states that no warrant was shown.",medium
